long_name,name,state,fines,standard_loan_weeks,ILS,website,
Libraries Tasmania,Tasmania,tas,no,3,SirsiDynix Symphony,,
Bayside Library Service,Bayside_VIC,vic,no,4,Civica Spydus,https://www.bayside.vic.gov.au/library,
Boroondara Library Service,Boroondara,vic,yes,3,Civica Spydus,https://www.boroondara.vic.gov.au/libraries-all,
Brimbank Libraries,Brimbank,vic,adults,4,Koha ILS,https://www.brimbanklibraries.vic.gov.au,
Buloke Library Service,Buloke,vic,no,?,SirsiDynix Symphony,,
Campaspe Regional Library,Campaspe,vic,adults,4,SirsiDynix Symphony,,
Casey Cardinia Libraries,Casey Cardinia,vic,no,4,SirsiDynix Symphony,,
Central Highlands Libraries,Central Highlands VIC,vic,by_lga,4,SirsiDynix Symphony,,
Corangamite Regional Library Corporation,Corangamite,vic,adults,3,Civica Spydus,,
Darebin Libraries,Darebin,vic,yes,3,Civica Spydus,,
East Gippsland Shire Library,East Gippsland,vic,yes,4,OCLC Amlib,,
Eastern Regional Libraries Corporation,Eastern,vic,no,3,Civica Spydus,,
Frankston City Libraries,Frankston,vic,no,3,Civica Spydus,,
Gannawarra Library Service,Gannawarra,vic,?,4,SirsiDynix Symphony,,
Geelong Regional Library Corporation,Geelong,vic,adults,4,SirsiDynix Horizon,,
Glen Eira Libraries,Glen Eira,vic,yes,3,Civica Spydus,,
Glenelg Libraries,Glenelg,vic,adults,3,SirsiDynix Symphony,,
Goldfields Library Corporation,Goldfields,vic,yes,3,Civica Spydus,,
Goulburn Valley Regional Library Corporation,Goulburn Valley,vic,no,4,SirsiDynix Symphony,,
Greater Dandenong Libraries,Greater Dandenong,vic,yes,3,SirsiDynix Symphony,,
High Country Library Network,High Country,vic,adults,4,SirsiDynix Symphony,,
Hindmarsh Shire Libraries,Hindmarsh,vic,no_unconfirmed,4,SirsiDynix Symphony,,
Hobsons Bay Libraries,Hobsons Bay,vic,yes,3,SirsiDynix Symphony,,
Hume Libraries,Hume,vic,no,3,SirsiDynix Horizon,,
Indigo Shire Libraries,Indigo,vic,?,4,SirsiDynix Symphony,,
Kingston Information & Library Service,Kingston,vic,yes,3,SirsiDynix Symphony,,
Latrobe City Libraries,Latrobe,vic,no_unconfirmed,3,SirsiDynix Symphony,,
Maribyrnong Library Service,Maribyrnong,vic,yes,3,Civica Spydus,,
City of Melbourne Libraries,Melbourne,vic,yes,3,Civica Spydus,,
Melton City Libraries,Melton,vic,?,3,SirsiDynix Symphony,,
Mildura Rural City Council Library Service,Mildura,vic,no_unconfirmed,4,SirsiDynix Symphony,,
Mitchell Shire Library Service,Mitchell,vic,no,3,SirsiDynix Symphony,,
Monash Public Library Service,Monash,vic,no,4,Civica Spydus,,
Moonee Valley Libraries,Moonee Valley,vic,yes,3,SirsiDynix Symphony,,
Moreland City Libraries,Moreland,vic,no_unconfirmed,3,Libero,,
Mornington Peninsula Library Service,Mornington Peninsula,vic,adults,3,SirsiDynix Symphony,,
Murrindindi Library Service,Murrindindi,vic,no,3,Civica Spydus,,
Port Phillip Library Service,Port Phillip,vic,no,4,Civica Spydus,,
Stonnington Library & Information Service,Stonnington,vic,?,3,Civica Spydus,,
Swan Hill Regional Library Service,Swan Hill,vic,no,4,SirsiDynix Symphony,,
Towong Shire Libraries,Towong,vic,no,4,SirsiDynix Symphony,,
Wellington Shire Library,Wellington,vic,yes,3,SirsiDynix Symphony,,
West Gippsland Regional Library Corporation,West Gippsland,vic,no,4,SirsiDynix Symphony,,
Whitehorse Manningham Regional Library Corp,Whitehorse Manningham,vic,yes,3,Civica Spydus,,
Wimmera Regional Library Corporation,Wimmera,vic,no,4,SirsiDynix Symphony,,
Wodonga Library,Wodonga,vic,no,4,SirsiDynix Symphony,,
Wyndham City Library Service,Wyndham,vic,no,4,SirsiDynix Symphony,,
Yarra Libraries,Yarra,vic,no,3,SirsiDynix Symphony,https://library.yarracity.vic.gov.au,
Yarra Plenty Regional Library Service,Yarra Plenty,vic,no,3,Civica Spydus,https://www.yprl.vic.gov.au,
Yarriambiack Libraries,Yarriambiack,vic,no_unconfirmed,4,SirsiDynix Symphony,,
Albany City Council,Albany,wa,,3,Civica Spydus,https://library.albany.wa.gov.au,
Armadale City Council,Armadale,wa,no,3,Civica Spydus,https://library.armadale.wa.gov.au,
Ashburton Shire Council,Ashburton,wa,,2,OCLC Amlib,http://www.ashburton.wa.gov.au/services/libraries,
Augusta-Margaret River Shire Council,Augusta-Margaret River,wa,,3,OCLC WorldShare,https://www.amrshire.wa.gov.au/your-library-service,
Bassendean Town Council,Bassendean,wa,no,3,Champ LMSi,https://library.bassendean.wa.gov.au/,
Bayswater City Council,Bayswater,wa,no,3,SirsiDynix Symphony,https://www.bayswater.wa.gov.au/arts-and-leisure/libraries,
Belmont City Council,Belmont,wa,no,3,SirsiDynix Symphony,https://www.belmont.wa.gov.au/discover/places-to-go/ruth-faulkner-library-and-belmont-museum/your-library,
Beverley Shire Council,Beverley,wa,?,2,OCLC Amlib,https://www.beverley.wa.gov.au/community/facilities/public-library.aspx,
Boddington Shire Council,Boddington,wa,?,?,SirsiDynix Symphony,https://www.boddington.wa.gov.au/library-services.aspx,
Boyup Brook Shire Council,Boyup Brook,wa,,3,SirsiDynix Symphony,https://www.boyupbrook.wa.gov.au/community/facilities/library.aspx,
Bridgetown-Greenbushes Shire Council,Bridgetown-Greenbushes,wa,,3,SirsiDynix Symphony,https://www.bridgetown.wa.gov.au/community/library.aspx,
Brookton Shire Council,Brookton,wa,?,2,SirsiDynix Symphony,https://www.brookton.wa.gov.au/services/facilities/library.aspx,
Broome Shire Council,Broome,wa,?,2,OCLC Amlib,https://www.broome.wa.gov.au/Community/Broome-Public-Library,
Broomehill-Tambellup Shire Council,Broomehill-Tambellup,wa,,3,Civica Spydus,https://www.shirebt.wa.gov.au/community/our-community/library.aspx,
Bruce Rock Shire Council,Bruce Rock,wa,?,2,OCLC Amlib,https://www.brucerock.wa.gov.au/live/community/public-library.aspx,
Bunbury City Council,Bunbury,wa,,3,SirsiDynix Symphony,http://library.bunbury.wa.gov.au/SitePages/Home.aspx,
Busselton City Council,Busselton,wa,,3,SirsiDynix Symphony,https://www.busseltonlibraries.com.au/,
Cambridge Town Council,Cambridge,wa,yes,4,OCLC WorldShare,https://library.cambridge.wa.gov.au/Home,
Canning City Council,Canning,wa,,3,Civica Spydus,https://www.canning.wa.gov.au/places-and-events/places-to-learn/canning-libraries,
Capel Shire Council,Capel,wa,,3,SirsiDynix Symphony,https://library.capel.wa.gov.au/,
Carnamah Shire Council,Carnamah,wa,,2,SumWare Athenaeum,http://carnamah.wa.gov.au/services/libraries,
Carnarvon Shire Council,Carnarvon,wa,,3,SirsiDynix Symphony,https://www.carnarvon.wa.gov.au/Library-Gallery,
Chapman Valley Shire Council,Chapman Valley,wa,,3,SirsiDynix Symphony,https://www.chapmanvalley.wa.gov.au/community/facilities/library.aspx,
Chittering Shire Council,Chittering,wa,,4,OCLC Amlib,https://www.chittering.wa.gov.au/live/parks-and-facilities/library.aspx,
Claremont Town Council,Claremont,wa,,3,Civica Spydus,https://www.claremont.wa.gov.au/Community-and-Living/Claremont-Community-Hub-and-Library,
Cockburn City Council,Cockburn,wa,,3,Civica Spydus,https://www.cockburnlibraries.com.au/,
Collie Shire Council,Collie,wa,,3,OCLC WorldShare,https://www.collie.wa.gov.au/community/library/,
Coolgardie Shire Council,Coolgardie,wa,,2,OCLC Amlib,https://www.coolgardie.wa.gov.au/community/facilities/coolgardie-community-recreation-centre.aspx,
Coorow Shire Council,Coorow,wa,,3,SirsiDynix Symphony,https://www.coorow.wa.gov.au/facilities/services-facilities-libraries.aspx,
Corrigin Shire Council,Corrigin,wa,,2,SumWare Athenaeum,https://www.corrigin.wa.gov.au/community/facilities/library.aspx,
Cranbrook Shire Council,Cranbrook,wa,,4,Civica Spydus,https://www.cranbrook.wa.gov.au/services/libraries,
Cue Shire Council,Cue,wa,,3,SirsiDynix Symphony,https://www.cue.wa.gov.au/tourism/town-services/item/cue-public-library,
Cunderdin Shire Council,Cunderdin,wa,,2,SumWare Athenaeum,https://www.cunderdin.crc.net.au/library.html,
Dalwallinu Shire Council,Dalwallinu,wa,,3,OCLC Amlib,https://www.dalwallinu.wa.gov.au/community/facilities/dalwallinu.aspx,
Dandaragan Shire Council,Dandaragan,wa,,3,SirsiDynix Symphony,https://www.dandaragan.wa.gov.au/libraries.aspx,
Dardanup Shire Council,Dardanup,wa,,3,SirsiDynix Symphony,https://library.dardanup.wa.gov.au/,
Denmark Shire Council,Denmark,wa,,3,Civica Spydus,https://www.denmark.wa.gov.au/residents/library-services.aspx,
Derby-West Kimberley Shire Council,Derby-West Kimberley,wa,,2,Koha ILS,https://library.sdwk.wa.gov.au/,
Donnybrook-Balingup Shire Council,Donnybrook-Balingup,wa,,3,SirsiDynix Symphony,https://www.donnybrook-balingup.wa.gov.au/explore/facilities/donnybrook-ballingup-library-services.aspx,
Dowerin Shire Council,Dowerin,wa,,2,OCLC Amlib,https://www.dowerin.wa.gov.au/community/community-resource-centre-public-library.aspx,
Dumbleyung Shire Council,Dumbleyung,wa,,2,OCLC Amlib,https://www.dumbleyung.wa.gov.au/libraries,
Dundas Shire Council,Dundas,wa,,2,Champ LMSi,https://www.dundas.wa.gov.au/community/facilities/library.aspx,
East Pilbara Shire Council,East Pilbara,wa,?,3,OCLC Amlib,http://www.eastpilbara.wa.gov.au/Shire-Services/Town-facilities/Libraries,
Esperance Shire Council,Esperance,wa,,3,OCLC Amlib,https://www.esperance.wa.gov.au/library,
Exmouth Shire Council,Exmouth,wa,,3,OCLC Amlib,https://www.exmouth.wa.gov.au/community/facilities-and-recreation/exmouth-library.aspx,
Fremantle City Council,Fremantle,wa,no,3,Civica Spydus,https://www.fremantle.wa.gov.au/fremantle-library,
Gingin Shire Council,Gingin,wa,,2,OCLC Amlib,https://www.gingin.wa.gov.au/community/library-information.aspx,
Gnowangerup Shire Council,Gnowangerup,wa,,3,Civica Spydus,https://www.gnowangerup.wa.gov.au/community/services/library-services.aspx,
Goomalling Shire Council,Goomalling,wa,no,2,OCLC Amlib,https://www.goomalling.wa.gov.au/goomalling-community-centre.aspx,
Gosnells City Council,Gosnells,wa,,3,Civica Spydus,https://www.gosnells.wa.gov.au/Lifestyle/Libraries,
Greater Geraldton City Council,Greater Geraldton,wa,,3,SirsiDynix Symphony,https://library.cgg.wa.gov.au/,
Halls Creek Shire Council,Halls Creek,wa,,?,OCLC Amlib,https://www.hallscreek.wa.gov.au/services/public-library,
Harvey Shire Council,Harvey,wa,,3,SirsiDynix Symphony,https://www.harvey.wa.gov.au/facilities/libraries,
Irwin Shire Council,Irwin,wa,,3,OCLC Amlib,https://www.irwin.wa.gov.au/community-and-recreation/dongara-library,
Jerramungup Shire Council,Jerramungup,wa,,3,Civica Spydus,https://www.jerramungup.wa.gov.au/living-here/facilities/libraries.aspx,
Joondalup City Council,Joondalup,wa,,4,Civica Spydus,https://www.joondalup.wa.gov.au/category/community-and-libraries/libraries,
Kalamunda City Council,Kalamunda,wa,,3,SirsiDynix Symphony,https://www.kalamunda.wa.gov.au/community/libraries,
Kalgoorlie-Boulder City Council,Kalgoorlie-Boulder,wa,,3,OCLC WorldShare,https://www.ckb.wa.gov.au/In-My-Community/Library,
Karratha City Council,Karratha,wa,,3,Civica Spydus,https://karratha.wa.gov.au/libraries,
Katanning Shire Council,Katanning,wa,,3,Civica Spydus,https://www.katanning.wa.gov.au/services/sport-amp;-recreation/public-library.aspx,
Kellerberrin Shire Council,Kellerberrin,wa,,3,OCLC Amlib,http://www.kecrc.org.au/what-we-do.html,
Kent Shire Council,Kent,wa,,2,OCLC Amlib,https://www.kent.wa.gov.au/services/housing-rentals/,
Kojonup Shire Council,Kojonup,wa,,3,Civica Spydus,https://www.kojonup.wa.gov.au/facilities/library.aspx,
Kondinin Shire Council,Kondinin,wa,,2,SumWare Athenaeum,http://www.kondinin.wa.gov.au/top/community/library/,
Koorda Shire Council,Koorda,wa,,2,OCLC Amlib,https://www.koorda.wa.gov.au/the-shire/services/other-services.aspx,
Kulin Shire Council,Kulin,wa,,2,SumWare Athenaeum,http://kulin.wa.gov.au/main/community/library/,
City of Kwinana,Kwinana,wa,,3,Civica Spydus,https://www.kwinana.wa.gov.au/our-facilities/kwinana-public-library/Pages/default.aspx,
Lake Grace Shire Council,Lake Grace,wa,,2,OCLC Amlib,https://www.lakegrace.wa.gov.au/facilities/libraries/,
Laverton Shire Council,Laverton,wa,,4,OCLC Amlib,https://www.laverton.wa.gov.au/community/recreational-activities/community-resource-centre/library.aspx,
Leonora Shire Council,Leonora,wa,,2,Locally developed,https://www.leonora.wa.gov.au/your-community/tourism.aspx,
Mandurah City Council,Mandurah,wa,,4,Civica Spydus,https://www.mandurah.wa.gov.au/community/places/libraries,
Manjimup Shire Council,Manjimup,wa,,3,SirsiDynix Symphony,https://www.manjimup.wa.gov.au/our-places-and-spaces/libraries/Pages/default.aspx,
Meekatharra Shire Council,Meekatharra,wa,,6,OCLC Amlib,https://www.meekashire.wa.gov.au/community/facilities-and-resources/meekatharra-public-library.aspx,
Melville City Council,Melville,wa,,3,SirsiDynix Symphony,https://www.melvillecity.com.au/things-to-do/libraries,
Menzies Shire Council,Menzies,wa,?,2,None,https://www.menzies.wa.gov.au/community/facilties/library.aspx,
Merredin Shire Council,Merredin,wa,,2,OCLC Amlib,https://www.merredin.wa.gov.au/community/community-facilities/library-services.aspx,
Mingenew Shire Council,Mingenew,wa,,2,SirsiDynix Symphony,https://mingenew.wa.gov.au/community-resource-centre/,
Moora Shire Council,Moora,wa,,2,OCLC Amlib,https://www.moora.wa.gov.au/services/facilities/library.aspx,
Morawa Shire Council,Morawa,wa,,2,OCLC Amlib,https://www.morawa.wa.gov.au/community/facilities/library-services.aspx,
Mount Magnet Shire Council,Mount Magnet,wa,,2,OCLC Amlib,http://mtmagnet.wa.gov.au/library/,
Mount Marshall Shire Council,Mount Marshall,wa,,3,OCLC Amlib,https://www.mtmarshall.wa.gov.au/council-services/library-services.aspx,
Mukinbudin Shire Council,Mukinbudin,wa,,2,OCLC Amlib,https://www.mukinbudin.wa.gov.au/library-services.aspx,
Mundaring Shire Council,Mundaring,wa,,3,Civica Spydus,https://www.mundaring.wa.gov.au/YourCommunity/ShireLibraries/Pages/default.aspx,
Murchison Shire Council,Murchison,wa,,6,Champ LMSi,https://www.murchison.wa.gov.au/library-information.aspx,
Murray Shire Council,Murray,wa,,3,Civica Spydus,https://www.murray.wa.gov.au/facilities/library/,
Nannup Shire Council,Nannup,wa,,3,SirsiDynix Symphony,https://www.nannup.wa.gov.au/living-here/facilities/library.aspx,
Narembeen Shire Council,Narembeen,wa,,?,SumWare Athenaeum,https://www.narembeen.wa.gov.au/the-shire/council-facilities/public-library.aspx,
Narrogin Shire Council,Narrogin,wa,,3,Libero,https://www.narrogin.wa.gov.au/live/facilities/narrogin-regional-library.aspx,
Nedlands City Council,Nedlands,wa,,3,Civica Spydus,https://www.nedlands.wa.gov.au/libraries,
Northam Shire Council,Northam,wa,,3,Koha ILS,https://www.northam.wa.gov.au/recreation-attractions/facilities/libraries.aspx,
Northampton Shire Council,Northampton,wa,,3,SirsiDynix Symphony,https://www.northampton.wa.gov.au/Shire-Facilities-Library.aspx,
Nungarin Shire Council,Nungarin,wa,,2,Champ LMSi,https://www.nungarin.wa.gov.au/council-services/library-service.aspx,
Peppermint Grove Shire Council,Peppermint Grove,wa,,3,Civica Spydus,https://www.thegrovelibrary.net/,
Perenjori Shire Council,Perenjori,wa,,4,SumWare Athenaeum,https://perenjori.wa.gov.au/services/library/,
Perth City Council,Perth,wa,,3,SirsiDynix Symphony,https://www.perth.wa.gov.au/live-and-work/community-services-and-facilities/city-of-perth-library,
Pingelly Shire Council,Pingelly,wa,,2,OCLC Amlib,https://www.pingelly.wa.gov.au/services/facilities/library.aspx,
Plantagenet Shire Council,Plantagenet,wa,,4,Civica Spydus,https://www.plantagenet.wa.gov.au/community/facilities/library-services.aspx,
Port Hedland Town Council,Port Hedland,wa,,3,Civica Spydus,https://www.porthedland.wa.gov.au/our-community/facilities/town-of-port-hedland-libraries.aspx,
Quairading Shire Council,Quairading,wa,,3,OCLC Amlib,https://www.quairading.wa.gov.au/council/facilities.aspx,
Ravensthorpe Shire Council,Ravensthorpe,wa,,2,OCLC Amlib,https://www.hopetounwa.com/hopetoun-public-library,
Rockingham City Council,Rockingham,wa,,4,Civica Spydus,https://rockingham.wa.gov.au/facilities-and-recreation/libraries,
Sandstone Shire Council,Sandstone,wa,,2,SumWare Athenaeum,https://www.sandstone.wa.gov.au/facilities.aspx,
Serpentine-Jarrahdale Shire Council,Serpentine-Jarrahdale,wa,,3,Civica Spydus,https://www.sjshire.wa.gov.au/community/library/about-the-library,
Shark Bay Shire Council,Shark Bay,wa,,3,OCLC Amlib,https://www.sharkbay.wa.gov.au/services/council-services/library-services.aspx,
South Perth City Council,South Perth,wa,,3,Libero,https://southperth.wa.gov.au/community/libraries,
Stirling City Council,Stirling,wa,,3,SirsiDynix Symphony,https://www.stirling.wa.gov.au/leisure-and-culture/libraries-and-hubs,
Subiaco City Council,Subiaco,wa,,3,Civica Spydus,https://subiaco.spydus.com/cgi-bin/spydus.exe/MSGTRN/WPAC/HOME,
Swan City Council,Swan,wa,,4,Infor V-smart,https://www.swan.wa.gov.au/Your-Services/Libraries,
Tammin Shire Council,Tammin,wa,,3,OCLC Amlib,https://www.tammin.wa.gov.au/services/community-services/council-services.aspx,
Three Springs Shire Council,Three Springs,wa,,2,SumWare Athenaeum,https://www.threesprings.wa.gov.au/index.php/services/library,
Toodyay Shire Council,Toodyay,wa,,3,OCLC Amlib,https://www.toodyay.wa.gov.au/Community-Visitors/Libraries/Toodyay-Public-Library,
Trayning Shire Council,Trayning,wa,,2,OCLC Amlib,https://www.trayning.wa.gov.au/living-here/community-services/library-services.aspx,
Upper Gascoyne,Upper Gascoyne,wa,,2,?,https://www.uppergascoyne.wa.gov.au/community/facilities-recreation/library.aspx,
Victoria Park Town Council,Victoria Park,wa,,3,Civica Spydus,https://www.victoriapark.wa.gov.au/Around-town/Facilities/Library,
Victoria Plains Shire Council,Victoria Plains,wa,,4,OCLC Amlib,https://www.victoriaplains.wa.gov.au/library--library.aspx,
Vincent City Council,Vincent,wa,,3,SirsiDynix Symphony,https://library.vincent.wa.gov.au/,
Wagin Shire Council,Wagin,wa,,2,OCLC Amlib,https://www.wagin.wa.gov.au/community/facilities/wagin-public-library-art-gallery.aspx,
Wandering Shire Council,Wandering,wa,,2,SumWare Athenaeum,https://www.wandering.wa.gov.au/my-community/facilities/wandering-library.aspx,
Wanneroo City Council,Wanneroo,wa,,3,Civica Spydus,https://www.wanneroo.wa.gov.au/libraries,
Waroona Shire Council,Waroona,wa,,3,SirsiDynix Symphony,https://www.waroona.wa.gov.au/community/library/library.aspx,
West Arthur Shire Council,West Arthur,wa,,3,SumWare Athenaeum,https://www.westarthur.wa.gov.au/library.aspx,
Westonia Shire Council,Westonia,wa,,2,Champ LMSi,https://www.westonia.wa.gov.au/community/facilities/library.aspx,
Wickepin Shire Council,Wickepin,wa,,2,SumWare Athenaeum,https://www.wickepin.wa.gov.au/explore/facilities/library.aspx,
Williams Shire Council,Williams,wa,,3,OCLC Amlib,https://www.williams.wa.gov.au/community/recreation-facilities/williams-public-library.aspx,
Wiluna Shire Council,Wiluna,wa,?,2,OCLC Amlib,https://www.wiluna.wa.gov.au/library.aspx,
Wongan-Ballidu Shire Council,Wongan-Ballidu,wa,,2,Champ LMSi,https://www.wongan.wa.gov.au/community/library.aspx,
Woodanilling Shire Council,Woodanilling,wa,,4,SumWare Athenaeum,https://www.woodanilling.wa.gov.au/services/library.aspx,
Wyalkatchem Shire Council,Wyalkatchem,wa,,2,Champ LMSi,https://www.wyalkatchemcrc.com/about,
Wyndham-East Kimberley Shire Council,Wyndham-East Kimberley,wa,,2,Follett Destiny,https://www.swek.wa.gov.au/facilities-recreation/libraries/kununurra-community-library.aspx,
Yalgoo Shire Council,Yalgoo,wa,,?,OCLC Amlib,https://www.yalgoo.wa.gov.au/town-services/services-public-library.aspx,
Yilgarn Shire Council,Yilgarn,wa,,2,OCLC Amlib,https://www.yilgarn.wa.gov.au/crc/library/southern-cross-public-library.aspx,
York Shire Council,York,wa,,3,OCLC Amlib,https://www.york.wa.gov.au/community/facilities/library.aspx,
