long_name,name,state,fines,standard_loan_weeks,ILS,website,
Mid Western Regional Council Library Service,Mid-Western Regional,nsw,yes,3,Civica Spydus,https://midwestern.spydus.com/cgi-bin/spydus.exe/ENQ/OPAC/LOCENQ?TYP=BR&NRECS=1000,
Mosman Library,Mosman,nsw,yes,3,AIT Aurora,https://www.mosman.nsw.gov.au/library,
Nambucca Shire Council Libraries,Nambucca,nsw,yes,3,Civica Spydus,https://www.nambucca.nsw.gov.au/cp_themes/library/home.asp,
Newcastle Region Library,Newcastle,nsw,adults,4,SirsiDynix Horizon,https://www.newcastle.nsw.gov.au/library/home,
North Western Library,North Western,nsw,?,3,Civica Spydus,https://www.northwesternlibrary.com.au,
Northern Beaches Library,Northern Beaches,nsw,yes,3,Civica Spydus,https://www.northernbeaches.nsw.gov.au/library,
Oberon Council Library,Oberon,nsw,?,?,Civica Spydus,https://www.oberon.nsw.gov.au/council/venues/council-venues/oberon-council-library,
Parkes Shire Library,Parkes,nsw,no,4,Libero,https://www.parkes.nsw.gov.au/things-to-do/parkes-shire-libraries/,
City of Parramatta Libraries,Parramatta,nsw,?,?,SirsiDynix Horizon,https://www.cityofparramatta.nsw.gov.au/community/library,
Penrith City Library,Penrith,nsw,yes,3,Civica Spydus,https://www.penrithcity.nsw.gov.au/community-library/library,
Queanbeyan Palerang Library Service,Queanbeyan Palerang Regional,nsw,yes,4,Libero,https://library.qprc.nsw.gov.au/,
Randwick City Library Service,Randwick,nsw,no,3,SirsiDynix Symphony,https://www.randwick.nsw.gov.au/library,
Richmond Tweed Regional Library,Richmond Tweed Regional,nsw,yes,3,Civica Spydus,https://rtrl.nsw.gov.au/cp_themes/default/home.asp,
Richmond Upper Clarence Regional Library,Richmond Upper Clarence Regional,nsw,yes,3,Libero,https://richmondvalley.nsw.gov.au/community-services/libraries-2/library-branches/,
Riverina Regional Library,Riverina Regional,nsw,yes,4,Libero,https://rrl.nsw.gov.au/branches/,
Ryde Library Service,Ryde,nsw,yes,?,Civica Spydus,https://www.ryde.nsw.gov.au/Library,
Shellharbour City Libraries,Shellharbour,nsw,no,3,OCLC WorldShare,https://libraries.shellharbour.nsw.gov.au/,
Shoalhaven Libraries,Shoalhaven,nsw,no,4,Libero,https://www.shoalhavenlibraries.com.au/Our-Libraries,
Singleton Public Library,Singleton,nsw,yes,3,AIT Aurora,https://www.singleton.nsw.gov.au/236/Library,
Snowy Monaro Regional Library,Snowy Monaro Regional,nsw,?,4,OCLC Amlib,https://www.snowymonaro.nsw.gov.au/152/Library-Services,
Stanton Library,Stanton,nsw,yes,3,AIT Aurora,https://www.northsydney.nsw.gov.au/Library_Databases,
Strathfield Library and Information Centre,Strathfield,nsw,yes,3,Civica Spydus,https://www.strathfield.nsw.gov.au/play/strathfield-council-library/,
Sutherland Shire Libraries and Information Service,Sutherland Shire,nsw,yes,3,Innovative Sierra,https://www.sutherlandshire.nsw.gov.au/Community/Library,
City of Sydney Library,Sydney,nsw,yes,3,AIT Aurora,https://www.cityofsydney.nsw.gov.au/libraries,
Tenterfield Public Library,Tenterfield,nsw,yes,4,Libero,https://www.tenterfield.nsw.gov.au/community/library,
The Hills Shire Library Service,The Hills Shire,nsw,?,3,Civica Spydus,https://www.thehills.nsw.gov.au/Library,
"Upper Hunter Regional Library (Upper Hunter Library Network)",Upper Hunter,nsw,yes,?,AIT Aurora,https://www.uhrl.nsw.gov.au/,
Upper Lachlan Library Service,Upper Lachlan Shire,nsw,yes,3,Civica Spydus,https://www.upperlachlan.nsw.gov.au/community/library,
Waverley Library,Waverley,nsw,yes,3,Libero,https://www.waverley.nsw.gov.au/library,
Wentworth Shire Library,Wentworth,nsw,?,?,Libero,https://www.wentworth.nsw.gov.au/community/libraries/,
Western Riverina Libraries,Western Riverina Regional,nsw,yes,3,Libero,https://www.wrl.nsw.gov.au/,
Willoughby City Library,Willoughby,nsw,yes,3,Civica Spydus,https://libraries.willoughby.nsw.gov.au/Home,
Wingecarribee Public Library,Wingecarribee,nsw,no_unconfirmed,2,SirsiDynix Horizon,http://www.library.wsc.nsw.gov.au/,
Wollondilly Library and Information Service,Wollondilly,nsw,no,3,Civica Spydus,https://www.library.wollondilly.nsw.gov.au/page.aspx,
Wollongong City Libraries,Wollongong,nsw,no,4,Civica Spydus,https://www.wollongong.nsw.gov.au/library,
Woollahra Library and Information Service,Woollahra,nsw,adults,3,Libero,https://www.woollahra.nsw.gov.au/library,
